DATE,DTB1YR
2008-06-03,2.08
2008-06-04,2.08
2008-06-05,2.09
2008-06-06,2.06
2008-06-09,2.22
2008-06-10,2.44
2008-06-11,2.39
2008-06-12,2.53
2008-06-13,2.54
2008-06-16,2.58
2008-06-17,2.49
2008-06-18,2.44
2008-06-19,2.48
2008-06-20,2.40
2008-06-23,2.47
2008-06-24,2.43
2008-06-25,2.38
2008-06-26,2.30
2008-06-27,2.26
2008-06-30,2.27
2008-07-01,2.31
2008-07-02,2.28
2008-07-03,2.23
2008-07-04,.
2008-07-07,2.19
2008-07-08,2.19
2008-07-09,2.14
2008-07-10,2.13
2008-07-11,2.22
2008-07-14,2.16
2008-07-15,2.08
2008-07-16,2.09
2008-07-17,2.18
2008-07-18,2.18
2008-07-21,2.21
2008-07-22,2.24
2008-07-23,2.29
2008-07-24,2.17
2008-07-25,2.24
2008-07-28,2.19
2008-07-29,2.29
2008-07-30,2.26
2008-07-31,2.20
2008-08-01,2.18
2008-08-04,2.20
2008-08-05,2.19
2008-08-06,2.19
2008-08-07,2.10
2008-08-08,2.12
2008-08-11,2.19
2008-08-12,2.11
2008-08-13,2.11
2008-08-14,2.07
2008-08-15,2.05
2008-08-18,2.08
2008-08-19,2.04
2008-08-20,1.99
2008-08-21,2.03
2008-08-22,2.09
2008-08-25,2.05
2008-08-26,2.13
2008-08-27,2.10
2008-08-28,2.12
2008-08-29,2.11
2008-09-01,.
2008-09-02,2.06
2008-09-03,2.02
2008-09-04,1.98
2008-09-05,2.01
2008-09-08,2.05
2008-09-09,2.00
2008-09-10,2.00
2008-09-11,1.95
2008-09-12,1.96
2008-09-15,1.61
2008-09-16,1.67
2008-09-17,1.46
2008-09-18,1.48
2008-09-19,1.98
2008-09-22,1.99
2008-09-23,1.95
2008-09-24,1.85
2008-09-25,1.91
2008-09-26,1.76
2008-09-29,1.56
2008-09-30,1.73
2008-10-01,1.67
2008-10-02,1.41
2008-10-03,1.37
2008-10-06,1.20
2008-10-07,1.23
2008-10-08,1.24
2008-10-09,1.29
2008-10-10,1.03
2008-10-13,.
2008-10-14,1.16
2008-10-15,1.09
2008-10-16,1.24
2008-10-17,1.29
2008-10-20,1.65
2008-10-21,1.69
2008-10-22,1.60
2008-10-23,1.57
2008-10-24,1.56
2008-10-27,1.53
2008-10-28,1.49
2008-10-29,1.37
2008-10-30,1.32
2008-10-31,1.30
2008-11-03,1.27
2008-11-04,1.25
2008-11-05,1.19
2008-11-06,1.14
2008-11-07,1.16
2008-11-10,1.13
2008-11-11,.
2008-11-12,1.00
2008-11-13,1.13
2008-11-14,1.11
2008-11-17,1.05
2008-11-18,1.03
2008-11-19,0.95
2008-11-20,0.85
2008-11-21,0.81
